enrollment_id,term_id,course_title,class_id,grade,student_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,age,course_subject,course_number,course_section,academic_plans
35777027,2221,General Biology 1,EBIO-1-1210-11,94.3,377983,Hildagarde,Thebeau,101,2/21/04,0,3.65,18,EBIO,1210,11,Systems
48227457,2221,General Biology 2,EBIO-1-1220-1,86.76,738627,Shaylah,Vick,142,11/17/00,0,4.0,22,EBIO,1220,1,Integrated Design Engineering
13328422,2221,General Biology 1,EBIO-1-1210-11,100.0,262173,Jania,Jowett,103,7/18/03,0,3.13,19,EBIO,1210,11,Architectural Engineering
70384313,2221,General Chemistry 1,CHEM-1-1113-21,78.38,262173,Jania,Jowett,103,7/18/03,0,3.13,19,CHEM,1113,21,Architectural Engineering
87624981,2221,General Chemistry 1,CHEM-1-1113-21,83.68,977538,Arleta,Gaddie,137,12/24/02,1,4.0,19,CHEM,1113,21,Theatre
30830484,2221,General Biology 1,EBIO-1-1210-11,92.69,667704,Lolita,Abramow,110,7/14/00,1,3.1,22,EBIO,1210,11,Minerals Land Management
28106123,2221,General Biology 2,EBIO-1-1220-1,90.4,801984,Raddie,Pleat,130,4/4/00,1,3.62,22,EBIO,1220,1,International Affairs
69066523,2221,General Biology 1,EBIO-1-1210-11,71.45,311192,Bibiana,Espino,134,4/15/00,0,2.72,22,EBIO,1210,11,Journalism - Undetermined
22333544,2221,General Chemistry 1,CHEM-1-1113-21,73.27,238606,Sholom,Kinman,102,9/15/00,0,4.0,22,CHEM,1113,21,Leadership/CommunityEngagement
40079916,2221,General Biology 1,EBIO-1-1210-11,62.5,815185,Orin,Canton,95,1/16/01,0,3.96,21,EBIO,1210,11,Jewish Studies
63314913,2221,General Biology 1,EBIO-1-1210-11,68.88,306649,Meaghan,Lush,95,8/14/02,1,2.77,20,EBIO,1210,11,Comm Disorders & Speech Sci
14699682,2221,General Biology 1,EBIO-1-1210-11,92.18,708465,Jerry,Hawkwood,116,12/15/02,0,2.5,19,EBIO,1210,11,Biological Sciences-MCD
19752229,2221,General Biology 1,EBIO-1-1210-10,85.41,776450,Dill,Clemendot,133,4/28/99,1,4.0,23,EBIO,1210,10,Design Studies
60909345,2221,General Chemistry 1,CHEM-1-1113-21,85.43,776450,Dill,Clemendot,133,4/28/99,1,4.0,23,CHEM,1113,21,Design Studies
13392571,2221,General Biology 1,EBIO-1-1210-11,81.66,953041,Howie,Stallard,106,3/26/99,1,2.77,23,EBIO,1210,11,Computer Science
68145810,2221,General Biology 1,EBIO-1-1210-11,85.2,985831,Monah,Pepye,95,1/2/99,0,4.0,23,EBIO,1210,11,Design Studies
44707743,2221,General Chemistry 1,CHEM-1-1113-22,79.36,983922,Demetria,Maier,97,1/18/98,0,2.72,24,CHEM,1113,22,Computer Science Applications
50094255,2221,General Biology 1,EBIO-1-1210-10,89.23,155867,Germain,Southers,124,10/27/99,0,4.0,23,EBIO,1210,10,Computer Science
96336287,2221,General Biology 1,EBIO-1-1210-11,88.29,909777,Cathlene,Buntin,133,4/2/00,0,3.52,22,EBIO,1210,11,Physics
32521071,2221,General Biology 1,EBIO-1-1210-10,94.82,895485,Gert,Jepperson,129,3/18/99,0,2.58,23,EBIO,1210,10,Business Analytics
87851759,2221,General Biology 2,EBIO-1-1220-1,78.52,999803,Ravid,Hewlings,114,3/12/98,0,2.79,24,EBIO,1220,1,Composition
94694382,2221,General Biology 1,EBIO-1-1210-11,87.44,265506,Dyanne,Grestie,111,2/17/98,0,4.0,24,EBIO,1210,11,Environmental Studies
30826352,2221,General Physics 1,PHYS-1-1110-15,71.86,265506,Dyanne,Grestie,111,2/17/98,0,4.0,24,PHYS,1110,15,Environmental Studies
84948950,2221,General Chemistry 1,CHEM-1-1113-22,81.21,827840,Rhodia,Flores,120,2/24/98,0,4.0,24,CHEM,1113,22,Media Studies
23819971,2221,General Physics 1,PHYS-1-1110-15,52.25,131285,Carleton,Abendroth,140,4/28/02,1,4.0,20,PHYS,1110,15,Broadcast Production
94937972,2221,General Physics 1,PHYS-1-1110-15,85.22,150535,Lilias,Bullas,131,12/19/01,0,4.0,20,PHYS,1110,15,Latin American Studies
39871129,2221,General Physics 1,PHYS-1-1110-16,58.56,645664,Lyell,Harsent,134,10/26/01,1,2.08,21,PHYS,1110,16,"Economics, Concurrent Degree"
